Epochs,TrainBox,TrainObject,TrainClass,Precision,Recall,mAP(0.5),mAP(0.5-0.95),ValBox,ValObj,ValClass
58,0.038341,0.10752,0.003969,0.72407,0.53427,0.53308,0.27779,0.040738,0.14142,0.0060638
59,0.037617,0.10753,0.0036392,0.70732,0.55284,0.53946,0.28592,0.039964,0.14087,0.0055249
60,0.037983,0.10763,0.0036073,0.68954,0.5158,0.52742,0.28458,0.040155,0.14656,0.0059602
61,0.038604,0.10715,0.0035306,0.68518,0.53889,0.52031,0.28014,0.039959,0.14628,0.0058824
62,0.038375,0.10561,0.0038269,0.67616,0.54298,0.53319,0.28731,0.039741,0.14152,0.0058158
63,0.038646,0.10645,0.0037329,0.7303,0.55006,0.53377,0.27957,0.039863,0.14161,0.0058228
64,0.038069,0.10481,0.003536,0.70389,0.55579,0.53796,0.29007,0.03996,0.14379,0.0059679
65,0.037834,0.10428,0.0036767,0.69836,0.56109,0.53401,0.28234,0.039839,0.13993,0.005968
66,0.037076,0.10474,0.0036129,0.70972,0.5416,0.53249,0.28315,0.040195,0.14327,0.0058026
67,0.038113,0.10493,0.0034008,0.70814,0.51692,0.52448,0.28041,0.040247,0.14942,0.0066556
68,0.037146,0.10545,0.0035778,0.71406,0.55074,0.54198,0.29078,0.039462,0.14431,0.0057454
69,0.038014,0.10299,0.0033656,0.69945,0.54978,0.533,0.28673,0.04015,0.14608,0.006434
70,0.036536,0.10425,0.0036321,0.7092,0.52767,0.52743,0.28231,0.040247,0.14846,0.006249
71,0.036924,0.10155,0.0034057,0.70681,0.52381,0.52282,0.27686,0.040555,0.14713,0.0065145
72,0.037181,0.10185,0.003292,0.71766,0.50731,0.52876,0.2856,0.040375,0.14557,0.006145
73,0.037885,0.10342,0.0032564,0.65286,0.55549,0.53115,0.28768,0.039722,0.1488,0.0062886
74,0.036621,0.1033,0.0030787,0.6904,0.52626,0.52743,0.28466,0.040101,0.14683,0.006661
75,0.036454,0.1008,0.0031046,0.71332,0.52351,0.52122,0.28044,0.040549,0.15078,0.0061467
76,0.037516,0.10058,0.0030245,0.71014,0.53782,0.52656,0.28278,0.040116,0.14991,0.0061503
77,0.036889,0.10207,0.0029941,0.70536,0.51342,0.52145,0.27966,0.040572,0.14892,0.0065252
78,0.037081,0.10011,0.0030501,0.6781,0.54125,0.52125,0.2781,0.04042,0.14871,0.0066245
79,0.036406,0.10179,0.0029919,0.68733,0.50714,0.51933,0.28149,0.040091,0.14633,0.0064589
80,0.036571,0.10151,0.0029108,0.67743,0.52458,0.51936,0.28009,0.040142,0.14841,0.006429
81,0.036509,0.099925,0.0030042,0.70253,0.53314,0.52788,0.28353,0.040135,0.15307,0.0065848
82,0.036298,0.099952,0.0028289,0.71373,0.52687,0.52735,0.28296,0.040262,0.14858,0.0061778
83,0.036245,0.10036,0.0026801,0.71301,0.5285,0.52631,0.28297,0.040379,0.15363,0.0060698
84,0.035353,0.096539,0.0029944,0.65369,0.54424,0.52142,0.28141,0.040311,0.15193,0.006232
85,0.036842,0.10313,0.0026723,0.71476,0.53084,0.52057,0.27985,0.04021,0.14938,0.0063745
86,0.035618,0.098247,0.0027224,0.72796,0.54141,0.53045,0.28737,0.039777,0.14961,0.0065818
87,0.036491,0.1001,0.0027674,0.69511,0.50158,0.51731,0.27644,0.040649,0.15453,0.0066992
88,0.03546,0.097552,0.0026794,0.6694,0.57232,0.52469,0.28017,0.039901,0.14626,0.0068946
89,0.036105,0.097562,0.0027334,0.74482,0.51886,0.53466,0.28682,0.040265,0.15116,0.0061681
90,0.035406,0.10085,0.0023486,0.68689,0.50797,0.52237,0.27949,0.040421,0.15159,0.0063623
91,0.036218,0.098055,0.0026348,0.72762,0.53375,0.53416,0.28355,0.040414,0.15089,0.0066123
92,0.035452,0.099604,0.0024134,0.68023,0.52083,0.52397,0.28015,0.04011,0.15081,0.0062745
93,0.036143,0.097125,0.0025192,0.66723,0.5569,0.531,0.28549,0.039997,0.15009,0.0059167
94,0.034993,0.099445,0.0023651,0.69583,0.50494,0.51932,0.27968,0.040892,0.16023,0.0062509
95,0.035561,0.098766,0.0024189,0.72757,0.53388,0.53403,0.28536,0.040263,0.14919,0.0064611
96,0.035155,0.097017,0.00212,0.69996,0.53307,0.52704,0.28302,0.040159,0.15191,0.0063245
97,0.035494,0.099436,0.0022498,0.71265,0.52393,0.53247,0.28505,0.040478,0.1565,0.0065977
98,0.035879,0.10007,0.0023409,0.7286,0.55674,0.54285,0.28916,0.040388,0.15212,0.0064462
99,0.0354,0.096693,0.0024087,0.72202,0.55277,0.53829,0.28851,0.040276,0.15296,0.0065828
100,0.035447,0.099586,0.0022948,0.6708,0.524,0.52024,0.27776,0.040417,0.152,0.0066248
101,0.034953,0.096868,0.0021119,0.68571,0.54519,0.52697,0.28072,0.040757,0.15986,0.0065958
102,0.03521,0.096109,0.0021123,0.72036,0.53041,0.53889,0.28532,0.040657,0.15588,0.0066032
103,0.034743,0.097235,0.0021693,0.72825,0.5333,0.52717,0.28099,0.04063,0.15462,0.0062884
104,0.035106,0.093432,0.0022017,0.75739,0.53848,0.53638,0.28704,0.040556,0.1539,0.0061442
105,0.034256,0.094399,0.0019349,0.71689,0.53182,0.53121,0.28096,0.04072,0.15353,0.006561
106,0.034022,0.094382,0.0019326,0.70742,0.50703,0.52015,0.27588,0.040834,0.15668,0.0064219
107,0.034268,0.095524,0.0020471,0.69439,0.53534,0.53179,0.28192,0.040615,0.15314,0.0064062
108,0.035042,0.097192,0.0018866,0.73892,0.53229,0.54009,0.28887,0.040378,0.1547,0.0063648
109,0.035089,0.096141,0.0020228,0.71124,0.53531,0.53347,0.28601,0.040379,0.1528,0.0064277
110,0.034066,0.091537,0.0021092,0.73854,0.53227,0.53449,0.28523,0.040739,0.15301,0.0061145
111,0.034814,0.097276,0.0018621,0.70227,0.52386,0.52868,0.28113,0.040705,0.15472,0.0069212
112,0.034638,0.096533,0.0020342,0.71354,0.51605,0.52249,0.27735,0.041222,0.16105,0.0066347
113,0.034353,0.093845,0.0019607,0.71226,0.52929,0.52225,0.27855,0.040559,0.15657,0.0061613
114,0.033537,0.093784,0.0019014,0.70258,0.5358,0.52858,0.28099,0.040669,0.15641,0.006325
115,0.033904,0.094952,0.0016595,0.71292,0.52621,0.52174,0.27712,0.040821,0.15661,0.0062153
116,0.033669,0.094409,0.0017561,0.70134,0.54046,0.53579,0.28498,0.040755,0.15565,0.0067333
117,0.034044,0.095061,0.001711,0.72085,0.52109,0.52038,0.2757,0.040937,0.1598,0.0066058
118,0.03374,0.095592,0.0018869,0.71606,0.53599,0.53066,0.27989,0.040847,0.1575,0.0063326
119,0.033304,0.091911,0.0017874,0.76,0.53327,0.53577,0.28393,0.041197,0.15922,0.0063972
120,0.033546,0.09328,0.0016681,0.7333,0.52354,0.52702,0.27541,0.041342,0.15923,0.0061541
121,0.033058,0.092352,0.0017459,0.72676,0.52162,0.52836,0.28126,0.040923,0.15937,0.0062036
122,0.033132,0.092581,0.0017795,0.73274,0.53536,0.53001,0.28173,0.041198,0.16151,0.0063709
123,0.03378,0.093126,0.0016595,0.73249,0.50589,0.51785,0.27301,0.0415,0.16346,0.0065746
